Ranking,Player,Elo
1,JoyDivision,1942.02
2,Fresh Meat,1902.11
3,N00dles,1848.76
4,bbScythe,1786.62
5,dAy,1779.8
6,WrathClaw,1725.95
7,clime,1724.55
8,nobadinohz,1703.68
9,Zottelschratz,1676.86
10,ammorning,1655.29
11,Underdoggo,1639.02
12,Nevic,1636.04
13,releasethecralkin,1609.07
14,kibitzer,1608.62
15,Bulldogcoma,1572.5
16,FOMOF,1564.75
17,morewhales,1555.12
18,ninjew,1546.76
19,astenu,1530.88
20,bennyflips,1512.28
21,Prince Ali,1486.7
22,I360,1482.93
23,Grishous,1476.36
24,AviDMeher,1470.29
25,truebroyeti,1469.47
26,Scuri,1451.83
27,Halloworhorcrux,1443.28
28,RÃ¤ubi,1442.19
29,rabenjamain16,1437.06
30,JoeyTyke,1433.09
31,poserLX,1422.89
32,eve,1406.51
33,Hugu,1399.75
34,0,1390.39
35,adityakarthik,1387.41
36,Mr. Der,1382.5
37,Combat Bluffer,1350.25
38,Dzordz,1345.37
39,Ben_Naylor,1308.56
40,Feast4Crows,1308.17
41,viamer,1292.67
42,runningtrumpet,1270.42
43,Sid,1265.97
44,thenobleknave,1264.95
45,Noobmaster5000,1264.29
46,judicium,1235.08
47,Dinkaflicka,1220.8
48,SniffThis1,1207.21
49,Ottawa.toronto,1201.79
50,harryfan007,1194.13
51,echostaffel,1193.86
52,onyablock,1193.86
53,Tayzer Wayne,1193.06
54,backwardsdeer,1135.15
55,b1tmancer,1119.3
56,MooShuPanther,1118.18
57,Ghostpieguy,1117.23
58,Sophrosyne36,1114.01
59,aditya96,1113.45
60,Goliathsboy,1112.47
61,Fish,1088.32
62,Meguy1151,1015.05
